review,sentiment
"This is superb - the acting wonderful, sets, clothes, music - but most of all the story itself.<br /><br />I am amazed there aren't more reviews of this movie - certainly one of the best of the 1980s.<br /><br />It's also a wonderful movie to see in tandem with the great ""Random Harvest"" which has much the same opening crisis <br /><br />-- a middle aged, unknown English W.W.I officer is in a hospital toward the close of the war, suffering from shell shock and complete amnesia without any idea of his name, origin, or anywhere he belongs - he proves to be a very wealthy established man - when he ""recovers"", he will not remember the years before the war -- <br /><br />But there the movies' resemblances end.<br /><br />My warmest thanks to all who participated in the movie - particularly the actors Ian Holm, Alan Bates, Ann Margret (what a great and surprising casting choice), Glenda Jackson, Julie Christie.<br /><br />This one stays with you forever.",positive
"Holy @#%& this movie was still warm and juicy from the pile it was made with. I tried to watch this pile of festering waste but found it easier to slash my wrists and slug back a shooter of Lysol floor cleaner than endure more than half of the crap that was on my screen. I rank this well below anything I have ever watched on film or TV, and thats saying something. I once witnessed a cow crap in a field. I watched the steaming pile for a hour and a half, who knows... it might have moved or something. Well that was time better spent than watching this tripe. The acting was non-existent, the plot was somewhere other than on this film. I think I saw a cut seen early on where the plot managed to escape and was riding off in the background on the back of a old pickup truck heading to Portland in hopes of becoming a Steven King shi77er. Please tell me director is getting medication he so desperately needs. It's pretty clear he needs heavy medication and I'd willing to front the money needed for his lobotomy reversal. Bah... I can't give this review the full punch it needs because nothing this painful can ever be done justice in typed word alone. Let me just say that if your looking for a flick to pass some time and you see this Chilton on the rack, walk to your car, start the engine, then shove both of your fists straight into the fan until it you can't feel your bones vibrate anymore. Be sure to have your wallet in hand also because you were going to waste the cash anyway. You might as well have the privilege of wasting it yourself.<br /><br />By the way, I watched this after a ""buddy"" of mine sent his girlfriend over so I could see it. HE dint come over, SHE had too. Whats worse is that she had to watch this $%&@ thing TWICE! I heard their married now and he gets to visit his balls once a month. I hope it was because of this film.",negative
"I agree with most of the Columbo fans that this movie was an unnecessary change of format. Columbo is a unique cop with unorthodox police methods. This movie looks like a remake of any other ordinary detective dramas from the past. And that is the disturbing point, because Columbo is no ordinary detective.<br /><br />There are two parts in this film that left me intriguing. First, I can't figure out the title of this movie. It is misleading. Maybe a better title would've been ""The Vanishing Bride"" or something similar. Second, Columbo hides a piece of evidence without offering the reason (to the viewers at least) why he does it.<br /><br />I don't feel betrayed, just disappointed. I'm glad Peter Falk went back to the usual Columbo.<br /><br />",negative
"I believe an entire book can be written about the odyssey to remake the classic film on which this film is loosely based. When Hollywood first started talking about such enterprise, the reaction was always negative because there were just too many aspects that could have gone wrong, starting with the solid ensemble that made the original unforgettable, and that's exactly where things begin souring here, with the selection of actresses that otherwise can do remarkable work, but that are not suited to the parts, and sadly enough, have been directed with the heavy hand of a director that doesn't understand or appreciate the source material.<br /><br />It seems as if there is no focus or direction, or as if the direction that has been taken is to obliterate anything that was good about the original film. This is called an updating, as in let's drain the story out of humor, snappy dialogue, and any interesting premise. Most of all, let's prove that women have come a long way, except that the problem is that we don't really get (at least by watching this film) where the women are truly going.<br /><br />For starters, casting Meg Ryan in the central role proves almost fatal to the movie because somehow she seems to have locked herself into some sort of limbo where women don't really change appearances, even after 20 years of working in the movies. Her Mary which proved to be a difficult role in the 30's, somehow grew from her interaction with the other stereotypes, like Dorothy in ""The Wizard of Oz"" by learning, observing, and realizing that she had a choice in the matter. It might not have been a choice that women would celebrate nowadays, but it was fun ride, and part of the fun, was the catty, silly, sometimes slapstick routines that elevated that movie into the realm of the sublime. In here, we are down to earth with a thud. By changing the nature of Sylvia, the film has lost a lot of its spark, and it isn't in anyway Annette Bening's fault. I couldn't help but admiring how she tried to save this sinking ship and got a sinking feeling as she struggled with the horrible lines she was handled. Thankfully I entertained myself by looking at some of her terrific outfits and kept reminding myself how talented this lady really was. Her Sylvia is wise but flawed, and she could have been a great creation. Unfortunately Ms. English wasn't paying attention to her own work and loses control of the one character that could have turned the film into a fresh direction.<br /><br />Yet that wasn't the biggest blasphemy of them all. In the original, we have Joan Crawford doing probably one of the best performances by a woman. Her Crystal is legendary, with conniving lines, incendiary moves, duplicitous maneuvers, and some very sexy poses. She was the link between the male and the female, and through her we knew what the whole catastrophe was about. She provided the tension between men and women. She was dangerous, sexy, the ultimate femme fatale. A woman of intelligence that we feared and admired, and most importantly, we wanted to destroy to save our heroine. Eva Mendes, as gorgeous as she is, is two dimensional in this outing because of weak writing, and once again, some bad casting.<br /><br />There are more atrocities in the film, such as the addition of a terrible role for Mensing as the dedicated mother who lives for having babies, and the rather annoying lesbian turn by Pinkett. Then comes the biggest waste of talent in the movie, as Bette Middler, who is a little unrecognizable in her make up, shows the spark of what could have been. Her acidic delivery reminds us of the contemporary angle the film could have taken. Her words revive and put a big of much needed naughtiness in the film, and it is exciting to see that it could really fly, then she is gone. She is in the film all of six minutes, and she fades away in the middle of the muddle.<br /><br />Here is a movie that raised our anticipation level and truly disappointed us, a film that could have joined the successful ""Sex in the City"" who made an amazing transition to the big screen because it respected its source material and didn't compromise. It gave us more, bigger and better adaptation. It truly updated what had made it successful before. ""The Women"" in its present reincarnation needs to go back and rework itself, much like ""The Hulk"" did it this year, find more suitable performers, a really good writer, and most of all, someone who truly treasures what good movies are about.",negative
"At the time, ""My Left Foot"" was the little movie that could. It was hugely popular, and everyone applauded the fact that such a small, independent film could make it all the way to the Oscars.<br /><br />Since then, movies like ""My Left Foot"" are a dime a dozen, so it might be hard in retrospect to understand what all the fuss was about. It's certainly a well made and competent film, but it's clear that the bulk of its success rests on the shoulders of Daniel Day-Lewis, who immerses himself in the role of Cristy Brown, a man living with cerebral palsy. Day-Lewis pulls off the same bit of stunt acting that had won Dustin Hoffman an Oscar the year before for playing a man with autism in ""Rain Man,"" and the Academy followed suit by giving Day-Lewis the same honor.<br /><br />The only thing really separating this film from a big budget Hollywood production is just that -- its budget. In every other way it's just as formulaic as any standard product. That's not to say it isn't a good movie, but it's not a masterpiece.<br /><br />Grade: A-",positive
"Interesting topic. Pathetic delivery - script and direction. <br /><br />Our hero, Miles, thaws out and has his emergency world-first life restoration surgery. This is where the fun begins. The underlying issue is that Miles has NO SOUL!!! This is used to explain his quasi-erratic behaviour of being indirectly responsible for two deaths (I believe this to be the total number of deaths in 104 minutes). <br /><br />On the livlier side, Miles prefers the odd glass of brandy, blazing fireplaces and his young, maturing female cousin. The finale does indeed do justice to this film.<br /><br />Some thoughts: 1. Producer $$$ were parted with to create this tripe. J.D. Feigelson was the script writer and a (or sole) producer. Looks like he did not learn a lesson on ""how not to bring an interesting idea to life"" when one views his other writing credits. This will support the credibility of this script.<br /><br />2. Now available on DVD!!! This IS truly scary. Should be forever ""Bottom of the Shelf"" in VHS format.<br /><br />3. A re-incarnated human without a soul will default to an evil entity. <br /><br />4. The score offers minimal support. Not even an in-form Jerry Goldsmith could save it.<br /><br />5. Deserved the 0230 time slot on TV and a touch more entertaining than the infomercials + test patterns it was competing against at the time of my viewing.<br /><br />6. Thankfully did not spawn any sequels ala Wes Craven's ""Nightmare"" franchise. Chiller Too: The Return Return of Miles, or something like that.<br /><br />Despite my rating of 1, I still recommend this movie as a great example of how to kill an acting or script-writing career. This should apply to directing, however Wes Craven will eternally be exempt due to his sole good piece of ""A Nightmare on Elm Street"" 1984.",negative
"Jon Cryer reprises his role as a neurotic guy in Two and a Half Men, which he perfected in this series. He longs to have a good relationship with a girl like his coworker has developed, and the tet-a-tet between him and his partner's girlfriend's best friend are pretty funny. Then they realize that they're attracted to each other and start dating. In one of the funniest lines on TV EVER -- I think in the final episode -- he and his partner are discussing that he wants to propose to the girl. <br /><br />His partner prepares him for the moment by suggesting: ""What's the worst that can happen? She says no.""<br /><br />Armed with newfound optimism, he proposes to his date over dinner. To which she replies, <br /><br />""GOD, no!""<br /><br />I laughed so hard I cried.",positive
"When HOPPITY GOES TO TOWN he discovers nothing but bad news for his little insect neighbors in the Lowlands. Can this honest, good-natured grasshopper save his sweetheart, Miss Honey Bee, from the machinations of the evil C. Bagley Beetle - and also lead his friends to a safe new home - before it's too late?<br /><br />While not one of the great animated features (a very new art at the time this film was created) HOPPITY is an enjoyable film which should bring pleasure to uncritical viewers. Technically it is well made, with animation of a generally high quality. The movie's main drawback is that none of the characters really have any `heart' - they don't come `alive' on the screen in the way Jiminy Cricket did a year earlier in PINOCCHIO.<br /><br />However, it is ultimately unfair to compare the Fleischer Studio output with that of Disney. Max & Dave Fleischer had their own star to follow; their contribution - and it would be a considerable one - would be in the realm of the one-reel cartoon. With their POPEYE and BETTY BOOP series they created alternate realities as viable as any produced by other cartoon studios. HOPPITY was their second experiment with feature length animation (after GULLIVER'S TRAVELS in 1939), and henceforth they would expend their energies again on the cartoon short subject. In fact, the first in the highly acclaimed SUPERMAN series was already in release.<br /><br />HOPPITY'S story owes a great deal to Frank Capra, with it's energetic, go get em hero up against powerful societal forces. Indeed, the film's original title was MR. BUG GOES TO TOWN, which immediately puts one in mind of Gary Cooper or Jimmy Stewart and their Capraesque adventures.<br /><br />Jack Mercer, famous as the voice of Popeye, here speaks for two very different characters, old Mr. Bumble & Swat the Fly. Movie mavens should be able to catch veteran voice actors Pinto Colvig & Mae Questel, both in uncredited roles.<br /><br />The film has some pleasant songs supplied by Hoagy Carmichael & Frank Loesser, of which `Be My Little Baby Bumble Bee' is the most familiar. `We're The Couple In The Castle' is a fine romantic tune which deserves to be rediscovered.<br /><br />It is unfortunate that the film's initial animation, with its sweep out of the heavens and past the in-depth New York skyline, is obscured behind the opening credits.",positive
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Alice, having defeated Freddy at the end of the last film, is now trying to re-adjust her life. But her unborn child is carrying a demonous presence- Freddy, trying to come out into their world again.<br /><br />It's interesting to note the directors who got their big breaks directing Freddy films- Charles Russell (Eraser, The Mask) Renny Harlin (The Long Kiss Goodnight, Cutthroat Island, Cliffhanger, Die Hard 2) and here Stephen Hopkins (Lost in Space, Predator 2.) But while Russell and Harlin made a good job of it, Hopkins IMO has made something of a podge with this entry, that should be quickly forgotten.<br /><br />The story is clearly being stretched as far as it can go here, with Freddy ludicrously a father himself and the ridiculous looking demon baby. Even at about an hour and a half, it all gets rather tiresome, and of course, not scary at all.<br /><br />The ""bon appetit, bitch"" catch-phrase is the only memorable point of this other wise very forgettable entry. *",negative
"I didn't really expect much from ""The Night Listener"" and I actually never heard of it until I saw the cover in the videostore. However, the movie is very effective when it comes to building up suspension and tension. On occasion it drags a little, but it actually helps to keep you wondering what's going to happen and more importantly: when. As the movie progresses, the character played by Robin Williams gets dragged into some kind of ""cat and mouse"" spiel to the point where he becomes obsessed with finding out the truth and existence about a 14 year old abused kid that no-one seemed to have ever seen in person. The Night Listener is an interesting story, which is great in building up the suspense throughout the movie and you're pretty much kept in the dark of who is lying and what's real. However, in the end it kind of disappoints and doesn't live up to the potential it could have had. It doesn't really give you a detailed or plausible explanation about the other main character, which would have been helpful and interesting.",negative
"As always Joan Hickson is wonderful as Jane M. Subtle, sharp and aware. I do not wish to dwell on her acting skills as they are praised enough on this site. I would like to criticize some of the smaller parts as the rest of the cast seemed to be hand picked by director David Tucker.<br /><br />Liz Fraser's performance as Mrs. Bent (the mother of the missing girl Nora) is a joy to watch. Subtle and deeply moving as the alcohol-depending grieving mother who loves and misses her daughter desperately. A good long shot of her monologue (thanks Tucker!) so she can be enjoyed to the fullest. I was moved when I saw her the first time when it was broadcast and I am moved again, now I have it on DVD. Brava.<br /><br />Joanna Hole as Madge the tour-guide I find highly amusing. She is on the edge of over-acting but her role can have it. She is SO funny as the over-organized guide who wants to do good with everyone on that bus, I find her hilarious. Her reaction after she boarded every-one on the bus is great... As always: to perform comedy one has to take it very seriously, and that's what Ms Hole does.<br /><br />I do hope those two ladies have good careers (as I live in Holland I do not know if they have, not all theater productions can be googled...) -their performances on the screen deserve it.<br /><br />Pieter",positive
"I wish ""that '70s show"" would come back on television. It was the greatest show ever!!! They should make episodes between the other episodes but of course that would be confusing. But I wish it would come back and make more episodes. Please come back... The show was absolutely hilarious. You couldn't laugh without seeing an episode. There is a really funny part in every episode and plus the show was so much better when Hyde and Jackie were going out with each other. Those were the best episodes. ""That '70s show is the best"".... It will be and always will be the best show ever. It was really sad when the show ended. They should make new episodes.",positive
"This has got to be one of Australia's best productions. I completely disagree with the comments made by 'RamiNour101'.<br /><br />This series shows the depth of Australian mateship and the lengths they went to to help each other out. Episode Five 'Eddies Birthday' is a great example of this and it really captures the Australian spirit.<br /><br />The music used throughout the series only emphasised the situation that the men were faced with, their longing for home and their loved ones. The numerous amusing renditions of The Road to Gundagai captures the spirit of the men and the fact that they never forgot home, and that it was little elements such as the singing of a song that took them home for a short while.<br /><br />As for the comment about it being racist towards Japanese people, the only thing to be said is that you can't change what happened. The Japanese did treat the Australians very poorly in Changi and to represent it as otherwise would be very misleading indeed. The comment about the screenplay being in accurate is also false. These six stories that are told in the series are composed from real P.O.W experiences.<br /><br />The actors were superb; the best being in my opinion, Matthew Newton. His performance as David in the first episode was gut wrenching. From being a city boy, to being another nameless face to his captors. We see him change dramatically in the first episode because of his violent attack in the jungle, and in further episodes we can see how that one event has changed him, he is more aware of what is really going on and is always one of the first to help out the other members of The Secret Nine.<br /><br />Stephen Curry also deserves a mention. His performance in 'Eddie's Birthday' is amazing, going from the larrikin of the group, to being sick, weak and unable to take care of himself. The displays of mateship in this episode touch you on an emotional level and make you proud to be Australian.<br /><br />I study WWII at university level and have found this series, if not physically truthful, spiritually truthful, as it captures the true spirit of what it was to be an Australian Soldier.<br /><br />Well done to John Doyle for capturing the spirit of Changi.",positive
"I am from the Dallas/Fort Worth area and lived in Arlington for a few years. This movie was way off as far as making it look like Arlington. I saw mountains in the background of one scene! Texas doesn't have mountains. I guess that happens when a movie that is supposed to be in Texas is filmed in Canada. The accents are also really bad. They should have gotten actors from Texas to play the parts. There a lot of aspiring actors from Texas out in Hollywood. The movie is really sad though, because it is a true story. I pray that the killer is found and convicted. The one good thing is that bc of her death, we now have the Amber Alert to help find missing children quickly after they are abducted.",negative
"A cheesy ""B"" crime thriller of the early '50, the story is droll, the characters wooden, Allison Hayes and Abbe Lane are the only two sexpots that make it an eye-catcher, but one short shot, only a few frames long, shows an ""el"" train crossing the river on the State Street bridge, of the 6000 series Pullman-built cars painted in their original 1950 paint scheme, as they were delivered when new in 1950. For traction fans like me, that one short take makes the picture worthwhile. I think films like this one, Ulmer's DETOUR, D.O.A. with Edmund O'Brien,THE FUGITIVE with Harrison Ford, and others of the film noir genre, (big city crime dramas) make it interesting if for nothing other than the fact that I know Chicago and San Francisco intimately and recognize most of the street locations. Other wise it's a really droll boring film!",negative
"In the opening scenes of this movie a man shot arrows through his hotel room into another man's bathroom and blew out all the lights. This must have been very hep for 1936, but rather way way out and had nothing to do with the film, Robin Hood did not make an appearance as far as I could see. However, Bette Davis(Daisey Appleby),""The Whales of August"",'87 was very young and attractive and performed one of her best roles in a long career in Hollywood. Daisey never stopped teasing or being very sexy with her nightgowns and so called swim suit on her yacht with George Brent(Johnny Jones),""The Spiral Staircase"",'46. Daisey even proposed marriage to Johnny in a Ferris Wheel upside down and even got a black eye. Davis and Brent made a great couple, one suppose to be very rich and the other a very poor reporter. Off stage, Davis and Brent were having a real torrid love affair, which is good reason why there was sparks when these two appeared in this film. If you liked Bette Davis and George Brent, this is the film for you!",positive
"The 1960's were a time of change and awakening for most people. Social upheaval and unrest were commonplace as people spoke-out about their views. Racial tensions, politics, the Vietnam War, sexual promiscuity, and drug use were all part of the daily fabric, and the daily news. This film attempted to encapsulate these historical aspects into an entertaining movie, and largely succeeded.<br /><br />In this film, two families are followed: one white, one black. During the first half of the film, the story follows each family on a equal basis through social and family struggles. Unfortunately, the second half of the movie is nearly dedicated to the white family. Admittedly, there are more characters in this family, and the story lines are intermingled, but equal consideration is not given to the racial aspects of this century.<br /><br />On the whole, the acting is well done and historical footage is mixed with color and black and white original footage to give a documentary feel to the movie. The movie is a work of fiction, but clips of well-known historical figures are used to set the time-line.<br /><br />I enjoyed the movie but the situations were predictable and the storyline was one-sided.",negative
"The novel is easily superior and the best parts of the film are direct translations from what Greene wrote; for instance the quiet but grim humour that breaks into the scenes with Boyer and Lorre, or the murdered-child obsession that takes over some of the plot. Where the film deviates from the novel, it tends to the ludicrous.<br /><br />However I don't want to suggest that the film is bad in any way. It always looks the part and the story stays in the mind like a good 'un. Some of the minor characters were stock actors who could turn their hand to anything.<br /><br />It's a dreadful shame that the film's not available on DVD.",positive
"Well, EYEboy, I must say that it pleases me to no end when someone singles me out and tries to make fun of me, especially when it is someone who seems as intelligent as you do. My favorite part of your post was ""But no big bang-bang good-guy bad-guy here, kimosabe. Me suggest you stick to movie with lotsa bang bang.""<br /><br />Well said! I do like action movies, especially if they are well done, but I also like movies that don't have a whole lot of action, as long as THEY are well done. I'm sorry, but Secret's and Lies does not fit into that category and is simply a very bad movie. I really don't see very many non-American films, so maybe I was spoiled, and didn't realize how bad foreign films really were when I saw Secrets and Lies. Perhaps if I judge foreign movies by a different standard I could some day see how Secrets and Lies could possibly be one of the highest rated movies on the IMDB. Hmm... If true, that is very scary.<br /><br />Jeremy Barger bits@midohio.net(new e-mail)",negative
